"i_stop_id","i_pid_start","i_pid_end","geometry"
126,66566,66698,"010100000033333333CDE82B41000000005CA05841"
127,67140,67384,"01010000009A99999997E82B410000000053A25841"
128,68327,68398,"0101000000333333336B022C4100000000B4A25841"
129,69501,69594,"0101000000CDCCCCCC51EA2B410000008000A25841"
130,70377,70461,"01010000000000000043E92B4100000080E2A05841"
131,73452,73557,"01010000009A99999920F72B41000000809EA25841"
132,74579,74622,"01010000006666666692022C41000000C0B4A25841"
133,75297,75379,"01010000009A9999994BEF2B41000000406CA25841"
134,77387,77545,"01010000000000000084E82B41000000C020A25841"
135,77571,77586,"0101000000CDCCCCCC8FE82B410000004055A25841"
136,78557,78675,"01010000003333333376022C4100000080E4A25841"
137,79863,79946,"0101000000000000005FEA2B4100000000FFA15841"
138,81224,81334,"01010000006666666622E72B41000000004AA05841"
139,81517,81612,"01010000009A99999915E92B4100000040EFA05841"
140,82064,82159,"0101000000CDCCCCCCA5E82B4100000040C1A15841"
141,83423,83508,"0101000000CDCCCCCC15F72B4100000000A0A25841"
142,83585,83677,"0101000000666666669DF82B41000000C092A25841"
143,84589,84697,"01010000006666666600032C41000000C0B3A25841"
144,84898,85032,"0101000000CDCCCCCC7BFE2B41000000406DA25841"
145,85673,85828,"0101000000CDCCCCCC6A002C41000000003AA35841"
146,86635,86912,"010100000033333333EAE72B41000000C01EA35841"
147,86958,89089,"010100000000000000BAE72B4100000000F5A25841"
148,89746,89945,"01010000003333333364E12B41000000C0C8A25841"
149,91312,95849,"0101000000CDCCCCCC33022C4100000040B8A25841"
150,95868,96089,"0101000000666666666B022C41000000C0B5A25841"
151,97050,97280,"01010000003333333367F82B410000000031A35841"
152,97378,97466,"0101000000CDCCCCCC33F32B41000000C0E3A35841"
153,98694,98786,"0101000000CDCCCCCC10E72B41000000C00CA45841"
154,99046,99133,"010100000066666666CDE52B41000000400AA45841"
155,99243,99332,"0101000000CDCCCCCCB8E52B41000000C03AA45841"
156,99440,99958,"01010000009A99999939E42B410000000009A45841"
157,100530,100670,"01010000009A999999F3E42B410000004088A45841"
158,100716,100817,"01010000009A9999991FE42B410000004071A45841"
159,101057,101303,"010100000000000000A3E42B41000000C0CDA45841"
160,101378,101596,"0101000000666666662BE52B4100000080FEA45841"
161,101800,101899,"0101000000CDCCCCCC36E62B410000008041A55841"
162,102420,102782,"010100000000000000E8E82B4100000080BDA55841"
163,102919,103350,"01010000000000000090E72B4100000040C1A55841"
164,103416,103688,"01010000009A999999AAE82B4100000000F4A55841"
165,104772,105030,"01010000009A99999921EC2B41000000C035A75841"
166,105289,105483,"0101000000333333332EED2B41000000C086A75841"
167,105576,105789,"01010000006666666663EE2B41000000C0A6A75841"
168,107650,107734,"0101000000666666663EE62B41000000C041A55841"
169,107908,108017,"0101000000CDCCCCCC37E52B410000000002A55841"
170,108130,108329,"0101000000CDCCCCCCA1E42B4100000000CEA45841"
171,108527,108658,"01010000003333333344E42B410000000076A45841"
172,108776,109032,"0101000000CDCCCCCCE3E42B410000008079A45841"
173,109371,109496,"0101000000CDCCCCCC90E42B41000000C00CA45841"
174,109823,109911,"0101000000CDCCCCCCF2E52B41000000000BA45841"
175,109958,110040,"01010000009A999999C8E62B41000000402AA45841"
176,110087,110171,"0101000000666666662AE72B41000000C00DA45841"
177,111349,111607,"01010000006666666632F32B4100000040E4A35841"
178,112770,112969,"0101000000333333337E022C4100000040BAA25841"
